Accession,Protein Name,Gene Name,Organism Name,Sequence Length
Q9Y238,DLC-1,DLEC1,Homo sapiens,1755
P51587,,BRCA2,Homo sapiens,3418
Q5HYN5,,CT45A1,Homo sapiens,189
O00559,,EBAG9,Homo sapiens,213
P38398,,BRCA1,Homo sapiens,1863
Q8TC20,CT3,CAGE1,Homo sapiens,777
Q9HCU9,,BRMS1,Homo sapiens,246
P62952,Bc10,BLCAP,Homo sapiens,87
O75638,,CTAG2,Homo sapiens,210
P23508,,MCC,Homo sapiens,829
